review_description,rating,developer_response,review_description_after_removing_stop_words
this is a very fantastic game in world,5,,fantastic game world
good to past time,5,,good past time
it say loading the furniture since daysalthough i have a very good internet speed and for this i couldnt proceed to the next level very annoying  pensive face ,1,,say loading furniture since daysalthough good internet speed couldnt proceed next level annoying  pensive face 
i like this game but i can load cause of my connection but i have enternet connection,5,,like game load cause connection enternet connection
pretty great so far no qualm to preach about  smiling face with smiling eye ,5,,pretty great far qualm preach  smiling face smiling eye 
great game enjoy playing gave you guy  star,2,,great game enjoy playing gave guy  star
i really love this game,5,,really love game
this is a great game so have fun and enjoy,5,,great game fun enjoy
it difficult to change deco that is hidden behind wall because the wall are in the way like the small bathroom you cant change the sink because you cant get to it,2,,difficult change deco hidden behind wall wall way like small bathroom cant change sink cant get
love this game so far but from experience the beginning to these game are ok untill u advance in the game it then thing seem to go pear shaped and one example trying to beat a stage but all the pair stay on the opposite side of the grid hope this game isnt like others ive played and deleted  pouting face  face screaming in fear ,5,,love game far experience beginning game ok untill u advance game thing seem go pear shaped one example trying beat stage pair stay opposite side grid hope game isnt like others ive played deleted  pouting face  face screaming fear 
very good so far just downloaded  koala ,5,,good far downloaded  koala 
i love this game you should go play enjoy  smiling face with hearteyes  smiling face with hearteyes ,5,,love game go play enjoy  smiling face hearteyes  smiling face hearteyes 
the story get annoying,3,,story get annoying
it realy great game,5,,realy great game
sometimes the level is almost impossible to win without boost extra move but it still fun to play and not that frustrating the character are interesting enough to care for the story my main issue there a bug in the garden area i already pas those part of the story but the furniture ive got suddenly dissappear and i cant even edit them i hope it can be fixed,5,,sometimes level almost impossible win without boost extra move still fun play frustrating character interesting enough care story main issue bug garden area already pas part story furniture ive got suddenly dissappear cant even edit hope fixed
i think the graphic could improve more but a good game,4,,think graphic could improve good game
not sure yet just started the game,1,,sure yet started game
this game is very nice game  ok hand  ok hand  ok hand  ok hand  birthday cake  birthday cake  birthday cake  birthday cake  bouquet  birthday cake  birthday cake ,5,,game nice game  ok hand  ok hand  ok hand  ok hand  birthday cake  birthday cake  birthday cake  birthday cake  bouquet  birthday cake  birthday cake 
this is good game ever,5,,good game ever
not bad nice time time pas,4,,bad nice time time pas
it lovely nd interesting,1,"Hi, xeinny! 🖐
What did you dislike about the game? You gave us 1 star. Please write your opinion. It's very important for us.",lovely nd interesting
it fun to play but the game are so difficult to handle i cant reach it,3,,fun play game difficult handle cant reach
the game is not working and this is making me mad  angry face  angry face  angry face  angry face  this is not fair i havent played the game and the life is over not fair,1,"Hi, Enor! 💌
Please write more information about your problem.",game working making mad  angry face  angry face  angry face  angry face  fair havent played game life fair
it too boring this is not a game about hotel it about the crossing diamond star and bomb something like that sorry dont know the real term dont play this game,1,"Hi, Se Kyung Kim! 🖐
Thanks for the feedback! We will pass on the information to our game designers.",boring game hotel crossing diamond star bomb something like sorry dont know real term dont play game
i have not even played the game because once i open it and wait for it to load and decide to press play then it go back to home not playing the game,1,"Hi, Balgoun! 🌼
Please free more disk space in Your device and shut down other applications before launching the game. Also we recommend to delete performance-boosting apps from your mobile device.",even played game open wait load decide press play go back home playing game
since update it ha taken much space,2,"Hi!
Please write more information about your problem.",since update ha taken much space
wow this game is awesome fun easy to play love this game i rate this game more than five  glowing star  thanks keep up the good work,5,,wow game awesome fun easy play love game rate game five  glowing star  thanks keep good work
it really deserves a zero but,1,"Hi, Hailey! 💐
Please write more information about your problem.",really deserves zero
candy crush game it is lol,1,"Hi, divyanka! 🎀
What did you dislike about the game? You gave us 1 star. Please write your opinion. It's very important for us.",candy crush game lol
good game and intrest  ok hand  ok hand  ok hand ,5,,good game intrest  ok hand  ok hand  ok hand 
good and interesting too much but easily and cute game i really enjoy this beautiful game,1,"Hi, Santosh! 🌺
What did you dislike about the game? You gave us 1 star. Please write your opinion. It's very important for us.",good interesting much easily cute game really enjoy beautiful game
this game cured my depression  winking face with tongue ,5,,game cured depression  winking face tongue 
nice game ilike thes game,5,,nice game ilike thes game
would rate  if the wait time is not too long plus to buy with real money is really not worth it however like playing the game for now,3,,would rate  wait time long plus buy real money really worth however like playing game
pleese make beter,1,"Hoi, Beulah! 🐦
Schrijf meer informatie over uw probleem.",pleese make beter
this is the most unfair game i have ever played they wont let you win until they are ready to especially level  i playee the game i wa supposed to advance but it didnt count ha a win for me level are way too hard it take away the fun game are meanr to be fun but this one is very frustrating the concept is cute but they didnt execute it well do better,1,"Hi, Ajayi! 🎀
Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.",unfair game ever played wont let win ready especially level  playee game wa supposed advance didnt count ha win level way hard take away fun game meanr fun one frustrating concept cute didnt execute well better
love it great game and design choice the animation is great,5,,love great game design choice animation great
happy to this game thanks  face with tear of joy  thumbs up  grinning face with sweat  smiling face with smiling eye  smiling face with smiling eye  grinning face  face blowing a kiss ,5,,happy game thanks  face tear joy  thumbs  grinning face sweat  smiling face smiling eye  smiling face smiling eye  grinning face  face blowing kiss 
since the update it will not load past  percent no matter how long i wait,1,Hi! Please update our game to the latest version. We have fixed bugs and we are waiting for you!,since update load past  percent matter long wait
it really fun so far,5,,really fun far
this would never get past  on the loading screen i really want to play this game but it will not even work with wifi  sad but relieved face ,1,Hi! Please update our game to the latest version. We have fixed bugs and we are waiting for you!,would never get past  loading screen really want play game even work wifi  sad relieved face 
in this game toomuch fun  winking face ,5,,game toomuch fun  winking face 
it is the best game in the world,5,,best game world
i wont like this game because it wa time waste,1,,wont like game wa time waste
i really enjoyed this game,5,,really enjoyed game
so far the game is fine the graphic the storyline but it crash every time i play,2,,far game fine graphic storyline crash every time play
at first i enjoy so much but in the chapter  to renovate centerpiece it need to download  confused face  disappointed face ,1,,first enjoy much chapter  renovate centerpiece need download  confused face  disappointed face 
i love it even though it hard sometimes,5,,love even though hard sometimes
i really enjoy this game and those couple story wa very best  victory hand  waving hand  grinning squinting face  grinning face ,4,,really enjoy game couple story wa best  victory hand  waving hand  grinning squinting face  grinning face 
the game are being hard so far,2,,game hard far
this is the most beautiful game i knew thank you for letting u play the game  face blowing a kiss  thumbs up  kiss mark  kiss mark  two heart  two heart  smiling face with hearteyes ,5,,beautiful game knew thank letting u play game  face blowing kiss  thumbs  kiss mark  kiss mark  two heart  two heart  smiling face hearteyes 
why do i have to download everytime i open the app i might uninstall this game because i dont have data everyday so annoying,1,,download everytime open app might uninstall game dont data everyday annoying
great experience thanks,5,,great experience thanks
the game is good but level  is so hard always show on screen no extra move why there is move but the game is unable to give move the game developer is fool to made this type of game they wasting time of user and there own time also,1,Hi! Please update our game to the latest version. We have fixed bugs and we are waiting for you!,game good level  hard always show screen extra move move game unable give move game developer fool made type game wasting time user time also
cant open the game,1,,cant open game
so far it really fun,5,,far really fun
not nice we can not play with out net mean online,4,,nice play net mean online
really suck not fun,1,,really suck fun
i used to have this app on my old phone when it wa still just a beta i loved this game since i first installed it,5,,used app old phone wa still beta loved game since first installed
i love this game so much  face blowing a kiss ,5,,love game much  face blowing kiss 
this is an awesome game app to play on your cellphone or iphone or ipad,5,,awesome game app play cellphone iphone ipad
good game but it became heavy after stage ,3,"Hi, Faraz! 💐
Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.",good game became heavy stage 
it nice but eveeythi g you do you have to get a key nop an lot of work,2,"Hi, Tsholofelo! 🌺
Thanks for the feedback! We will pass on the information to our game designers.",nice eveeythi g get key nop lot work
please stop wasting star for silly thing if the dog move if the dog sleep if the dog wakeis getting boring,2,"Hi, axor! 🌺
Thanks for the feedback! We will pass on the information to our game designers.",please stop wasting star silly thing dog move dog sleep dog wakeis getting boring
it is game okay star,5,,game okay star
please do this game more easily give a chance tho,1,"Hi, Jenny! 🌹
Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.",please game easily give chance tho
after update im stuck game loading at ,3,"Hi, Indra Yulius Budiman! 🌷 Please try to open the game again and enter it with high Wi-Fi connection and restart your device. This should help. Write to us about the results.",update im stuck game loading 
this game is a nice game but i have trouble to play and i did email for help but no response my game load till  then go out of game,1,Hi! Please update our game to the latest version. We have fixed bugs and we are waiting for you!,game nice game trouble play email help response game load till  go game
im enjoying the game,5,,im enjoying game
very hard for flower base need to star omg i uninstall for sure,1,"Hi, Jomarie Ode! 🌷
Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.",hard flower base need star omg uninstall sure
the best stress reliever,5,,best stress reliever
i started playing this game and wa actually starting to like it but a i started getting into higher level the game became increasingly harder and the move they give to complete the level were lower i had to use all my special move in each level just to complete it i have no problem with hard level but they dont give enough move to complete it i no longer wish to play and it to bad because i like the game i even spent money on it because i liked it it to bad  frowning face  crying face ,2,"Hi, Kimberly! 🌸
Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.",started playing game wa actually starting like started getting higher level game became increasingly harder move give complete level lower use special move level complete problem hard level dont give enough move complete longer wish play bad like game even spent money liked bad  frowning face  crying face 
why isnt it loading i try to load the game but it not working,3,"Hi, Anita! 💓
Please update the game.",isnt loading try load game working
i like the game but some of the level are so hard you cant clear them without spending money i have spent enough on this game hope i dont have to delete it,4,,like game level hard cant clear without spending money spent enough game hope dont delete
just started playing so far it ok,5,,started playing far ok
i loved it when i first started playing but it wont load now so  stat until it fixed,1,"Hi, Trisha! 💐
Please try to open the game again and enter it with high Wi-Fi connection and restart your device. This should help. Write to us about the results.",loved first started playing wont load  stat fixed
time killer good but just started,5,,time killer good started
different i like the build up to main prize,4,,different like build main prize
great fun cute story addicting,5,,great fun cute story addicting
lower level too hard,1,"Hi, Marcene! 🌟
Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.",lower level hard
i love playing the actually it a good game,5,,love playing actually good game
level shouldnt be that hard if you havent reached  or higher,3,"Hi, Mercedes!

Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.",level shouldnt hard havent reached  higher
fun game to play just started tho cant give much feedback yet,5,,fun game play started tho cant give much feedback yet
relaxing fun if a little frustrating at time,4,,relaxing fun little frustrating time
i love the story the hotel and the two main character i think they will mean to be at end  face blowing a kiss  but so sad always hazle always update and need to downloadwhy like that im so much love this game but one day comeive no choice but to uninstalled this game apps im on more than one hundred level now,2,,love story hotel two main character think mean end  face blowing kiss  sad always hazle always update need downloadwhy like im much love game one day comeive choice uninstalled game apps im one hundred level
tsk not loading with or without internet always stuck at  edit i uninstalled the game then install again i played now i decided to use the last game i played that i bind in my fb account and now it stuck at  for ald ten minute seriously  confused face ,1,"Hi, Sherrizah! 🖐 Please update the game.",tsk loading without internet always stuck  edit uninstalled game install played decided use last game played bind fb account stuck  ald ten minute seriously  confused face 
this game s awsome it a great way to send your free time  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes  smiling face with hearteyes ,5,,game awsome great way send free time  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes  smiling face hearteyes 
just downloaded it but so far it refreshing and different i will give an update in a few month when i really have had a chance to play and know more about the game a of now im giving it a  star because it started out awesome i hope to continue to give a  ☆ rating i really like the storyline so far,5,,downloaded far refreshing different give update month really chance play know game im giving  star started awesome hope continue give  ☆ rating really like storyline far
please make the puzzle easier to play im really interested in the story but the difficult level just make me want to stop playing or it would be nice if you could add a story modepuzzle mode with easyhard difficultly for people who are interested in either edit game take forever to load after the update loading screen ha been stuck on  edit  it took about  min at  mbps edit  thanks for the prompt reply and yes it loading much faster now  red heart ,3,Hello! Thanks for your feedback! Have a good game!,please make puzzle easier play im really interested story difficult level make want stop playing would nice could add story modepuzzle mode easyhard difficultly people interested either edit game take forever load update loading screen ha stuck  edit  took  min  mbps edit  thanks prompt reply yes loading much faster  red heart 
good game ilike toplayawsome,5,,good game ilike toplayawsome
fun yes and good level difficulty separation thought there would be more opportunity to pickchange story line,4,,fun yes good level difficulty separation thought would opportunity pickchange story line
im really enjoying the game right now i would recommend that more difficult level have more key a a reward though i hope we will have event that give infinite life because i really want to progress more with the plot update even though the app say new level were added with a recent update i do not see any new level,3,"Hi, JXP CHAN! 🌹
Thanks for feedback. The game has 19 chapters. We're working on it!",im really enjoying game right would recommend difficult level key reward though hope event give infinite life really want progress plot update even though app say new level added recent update see new level
this is a lovely game and i really appreciate the developing such a awesome game however i still have a problem after my enjoying it so much it decided to stop load and keep asking me to download even with my data and with that i still give you five star,5,,lovely game really appreciate developing awesome game however still problem enjoying much decided stop load keep asking download even data still give five star
well the game wa fun ive noticed lately after an update the game wont load for day after the update,3,"Hi, Ken! 🎀
Please restart your mobile device.",well game wa fun ive noticed lately update game wont load day update
it is fun to playso come and play,5,,fun playso come play
i think is cool and enjoyable and relaxing,5,,think cool enjoyable relaxing
cant stop playing,5,,cant stop playing
it a good game but doesnt seem to hold my interest for long,3,,good game doesnt seem hold interest long
i like the fact that it need renovation and is a team effort,5,,like fact need renovation team effort
game froze when i got to the part fixing the floor in the lobby so annoying,1,,game froze got part fixing floor lobby annoying
love the game but after level  level becomes harder to beat and hard level take almost  day without booster,3,,love game level  level becomes harder beat hard level take almost  day without booster
love the game take a while to collect enough to decorate your hotel but get you thinking about move  thumb up  id give it ,4,,love game take collect enough decorate hotel get thinking move  thumb  id give 
i like this game it my mind on track,1,,like game mind track
very predictable just like all the rest,2,,predictable like rest
looools it really enjoyable it make me lough,5,,looools really enjoyable make lough
it so nice and very useful for playing,5,,nice useful playing
awesome very addicting  grinning face  grinning face ,5,,awesome addicting  grinning face  grinning face 
level  is impossible there doesnt seem to be a way to move forward,2,Hi! Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.,level  impossible doesnt seem way move forward
totally awesome great graphic i enjoy the role play in remodeling and i just enjoy the story very much this is the kind of game i enjoy playing i appreciate this very much,5,,totally awesome great graphic enjoy role play remodeling enjoy story much kind game enjoy playing appreciate much
i love and like it  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  face blowing a kiss  full moon face  grinning face  grinning face  grinning face  partying face  partying face  partying face  partying face  partying face  partying face  slightly smiling face  slightly smiling face  slightly smiling face  face savoring food  face savoring food  face savoring food  face savoring food  face savoring food  face savoring food  smiling face  smiling face  smiling face  smiling face  smiling face  smiling face  smiling face  smiling face  smiling face ,5,,love like  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  face blowing kiss  full moon face  grinning face  grinning face  grinning face  partying face  partying face  partying face  partying face  partying face  partying face  slightly smiling face  slightly smiling face  slightly smiling face  face savoring food  face savoring food  face savoring food  face savoring food  face savoring food  face savoring food  smiling face  smiling face  smiling face  smiling face  smiling face  smiling face  smiling face  smiling face  smiling face 
so bad game even i have internet connection i will not load,1,,bad game even internet connection load
i love it im not even losing a heart you have to download this app ω  winking face ,5,,love im even losing heart download app ω  winking face 
the plot is great redemption of the barbie mc and the chemistry between her and the strictbutkind guy feel refreshing compared to the generic matchdesign game plot however the game would benefit a lot on event eg hr infinite life due to this lack im not a keen a to paying for coinspowerups hope this get updated soon,3,,plot great redemption barbie mc chemistry strictbutkind guy feel refreshing compared generic matchdesign game plot however game would benefit lot event eg hr infinite life due lack im keen paying coinspowerups hope get updated soon
this is just a great game it download just fine i just love it,5,,great game download fine love
uhhh make it easier to log in,5,,uhhh make easier log
fun and for whole family young or old,5,,fun whole family young old
worst game i ever played froze dony want me to play in peae,1,,worst game ever played froze dony want play peae
it awesome but i notice that my garden decor are gone im tired of playing because my garden decor is missing but i already finish it,2,,awesome notice garden decor gone im tired playing garden decor missing already finish
i love it but i want toe play a lot but  move is not ingaf,4,,love want toe play lot  move ingaf
because it ha lot of new job and furniture,5,,ha lot new job furniture
wellgot to waste time until my life refilled on my other game and this one actually got hard really quick level  and up stuck on  ive used everything i could i know the level are supposed to get harder but this got hard way too quick hard to enjoy the game when you cant do anything btwone im on lv the other lv,2,Hi! Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.,wellgot waste time life refilled game one actually got hard really quick level  stuck  ive used everything could know level supposed get harder got hard way quick hard enjoy game cant anything btwone im lv lv
fun exciting game,5,,fun exciting game
fun being able to decorate change if u choose cant do it n real life that easy,5,,fun able decorate change u choose cant n real life easy
love playing this game,5,,love playing game
need friend to help with lived,4,,need friend help lived
ok on a wet day,5,,ok wet day
i hate it itis so dumb and slow,1,,hate itis dumb slow
this is so fun one of the best game ever,4,,fun one best game ever
awesome game very time consuming just the way i love it,5,,awesome game time consuming way love
game is stopping and going move really slow i enjoy fixing the hotel up,3,,game stopping going move really slow enjoy fixing hotel
im am just loving the game hear lm still up playing this game,5,,im loving game hear lm still playing game
just started playing it so far so good,5,,started playing far good
very bad too much time consuming and boaring,1,,bad much time consuming boaring
great gameholdsmy attention,5,,great gameholdsmy attention
it is a asome game and it really really really really fun,5,,asome game really really really really fun
i always loose track of time while playing this gameit can become addicted i love to play,4,,always loose track time playing gameit become addicted love play
this is a great game the little dog are great,5,,great game little dog great
a good way to pas the time,5,,good way pas time
it is nice but it take long for the life to lod,5,,nice take long life lod
this app is a fun game and i will never uninstalled this app never ever again,5,,app fun game never uninstalled app never ever
hi it game is awesome,5,,hi game awesome
lovely game  red heart  ribbon ,5,,lovely game  red heart  ribbon 
it easy an challages your mind,5,,easy challages mind
o really enjoy for this game it so amazing,5,,really enjoy game amazing
great game to play,5,,great game play
every game like this is with the match tile boring and not enough life now i have to wait  min before you get  life to play one little matching the tile game for the rest graphic are ok,2,,every game like match tile boring enough life wait  min get  life play one little matching tile game rest graphic ok
i love this game  smiling face with hearteyes  blue heart ,5,,love game  smiling face hearteyes  blue heart 
kumar hi halo and name is the best in my opinion but i love it when you are a good friend of the world but you govind me on this list of a bunch and name is the same a it wa the first episode i love to do this with my life in a movie and it is so much better for the world than i love to live with my friend in the same way that ha the same effect a the movie star in a movie that ha a lot to say to,5,,kumar hi halo name best opinion love good friend world govind list bunch name wa first episode love life movie much better world love live friend way ha effect movie star movie ha lot say
it easy to do the task and it can help to relax the person who is playing this game,5,,easy task help relax person playing game
six key to put the centerpiece in the sundial seriously ridiculous the frequent popups to buy the doggie bank and to buy perk to help you win the game are too much i refuse to waste my money on a game just to win a total waste of time not only that but it a big battery drainer too uninstalled,2,,six key put centerpiece sundial seriously ridiculous frequent popups buy doggie bank buy perk help win game much refuse waste money game win total waste time big battery drainer uninstalled
it a good game  ok hand  thumbs up ,5,,good game  ok hand  thumbs 
easy simple and relaxing it a fun way to pas the time away while you wait overall great game,5,,easy simple relaxing fun way pas time away wait overall great game
im really enjoying this game id like it even more if we could name the mc instead of the default name,4,,im really enjoying game id like even could name mc instead default name
it very nice game i enjoy so much,5,,nice game enjoy much
i love this game so much it is so easy,5,,love game much easy
so far it a fun game  zany face ,4,,far fun game  zany face 
this is a great game period,5,,great game period
the game is nice i love it,4,,game nice love
i think this game is fab i find it fun to play i really enjoy both the designing side of the game the matching symbol part is great too thankyou for a very entertaining game please keep making more like it i love this one,5,,think game fab find fun play really enjoy designing side game matching symbol part great thankyou entertaining game please keep making like love one
i love the enthusiasm the girl ha,5,,love enthusiasm girl ha
love this game so fun,5,,love game fun
good game so far cant wait to reach different level,5,,good game far cant wait reach different level
great game i love the idea  thumb up  smiling face with hearteyes ,5,,great game love idea  thumb  smiling face hearteyes 
yes great game,5,,yes great game
why i cant get into the game anymore always stop everytime in download at  i dont know what version i have how to find out,1,Hi! Please update our game to the latest version. We have fixed bugs and we are waiting for you!,cant get game anymore always stop everytime download  dont know version find
nice game loving it so far,5,,nice game loving far
fun and adventurous  beaming face with smiling eye ,5,,fun adventurous  beaming face smiling eye 
so far it is easy and fun,5,,far easy fun
i really enjoyed this game until it became impossible to crack level just like all such game it becomes too hard and take way too long to beat the level this take away the enjoyment of the actual aim of the game the design and remodeling aspect,3,,really enjoyed game became impossible crack level like game becomes hard take way long beat level take away enjoyment actual aim game design remodeling aspect
neat cool game,5,,neat cool game
cool l like that to much  winking face  winking face ,5,,cool l like much  winking face  winking face 
family hotel renovation play game,5,,family hotel renovation play game
takea way too long to advance to a new level and continue renovating the hotel this could be better i found this game tedious and long,2,"Hi, Morena!
Thanks for your feedback!",takea way long advance new level continue renovating hotel could better found game tedious long
nice clean game,5,,nice clean game
why wouldnt it load it very dissapointing it wa very fun and enjoyable but it wouldnt load to the next level anymore  persevering face  zany face ,3,"Hi, Leehart!
Please write more information about your problem.",wouldnt load dissapointing wa fun enjoyable wouldnt load next level anymore  persevering face  zany face 
love this game so much cuz i like puzzle game,5,,love game much cuz like puzzle game
this game is heap of fun thank you,5,,game heap fun thank
i love the game so much fun i really enjoyed it,5,,love game much fun really enjoyed
i love the game but it take sometime to download the furniture even with internet hope you can fix it because i want to play continously,3,,love game take sometime download furniture even internet hope fix want play continously
it a very good game i love it,5,,good game love
good game and it fast,5,,good game fast
this game is good but it hang so much that it take much time to start and after starting i have to wait every second for every movement so please remove this problem,1,,game good hang much take much time start starting wait every second every movement please remove problem
well i love the game style but it all soooo slow especially the puzzle making move on the puzzle need to be faster it like it playing in slow motion other than this the game seems fun please speed up the puzzle play though otherwise i will get bored really quick and end up uninstalling it  slightly frowning face ,2,,well love game style soooo slow especially puzzle making move puzzle need faster like playing slow motion game seems fun please speed puzzle play though otherwise get bored really quick end uninstalling  slightly frowning face 
fantastic game and the story is very interesting and i am eagerly waiting for the new update all need to try this game,5,,fantastic game story interesting eagerly waiting new update need try game
after deleting the game and reinstalling it it a bit better but i had to start all over again at level ,3,"Hi, elizenel! 🎀
Please free more disk space in Your device and shut down other applications before launching the game. Also we recommend to delete performance-boosting apps from your mobile device.",deleting game reinstalling bit better start level 
i really enjoying this game,5,,really enjoying game
i just installed it and when i try to open the game it going back to my phone home screen if i could rate it zero i would have,1,,installed try open game going back phone home screen could rate zero would
way too hard to load take forever i have many other similar game and this one is too cumbersome uninstalling,1,,way hard load take forever many similar game one cumbersome uninstalling
love the story line and the game are not super hard i did just get started but most decorating game are easy at first and get really hard quickly reallly hoping this isnt one of them bc i actually really enjoy this game,5,,love story line game super hard get started decorating game easy first get really hard quickly reallly hoping isnt one bc actually really enjoy game
doggybank is earned coin the developer say it not but it isif you play any level you only get  coinsdo not let this developer lie to you,1,Hi! We're so sorry. Please write to our Support team. Button in the game settings. Thank you!,doggybank earned coin developer say isif play level get  coinsdo let developer lie
this game ha a good story line but it wa not ready for release slow play and slow on update if they would fix the problem this would be a very challenging game,3,,game ha good story line wa ready release slow play slow update would fix problem would challenging game
even bonus dont help because they are rare to get and that tell me to whip out the credit card to get ahead not doing that to bad it a cute game,3,"Hi, Elaine! 🌟
Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.",even bonus dont help rare get tell whip credit card get ahead bad cute game
love it but when i open it it wont load so im unable to play,5,,love open wont load im unable play
wa great until the game freaked out and lost my progress,3,,wa great game freaked lost progress
good game  thumb up ,5,,good game  thumb 
this game is good but the level get away just like that why,1,,game good level get away like
excellent game great fun to play,5,,excellent game great fun play
i just love this game eventhough im just new at this i just love t match and fix thing that suppose to be in order this the way to keep up with a nice decent home lol wow,1,,love game eventhough im new love match fix thing suppose order way keep nice decent home lol wow
it a really good game make you wonder whats next,5,,really good game make wonder whats next
very cool game love it,5,,cool game love
i actually like this game the story and all but i hate when everytime i open the app i have to connect to the internet to download it again so frustrating have to uninstall it,3,,actually like game story hate everytime open app connect internet download frustrating uninstall
it a fun app it teach u how to renovate a hotel,5,,fun app teach u renovate hotel
a love this game so much  two heart  two heart  two heart  two heart ,5,,love game much  two heart  two heart  two heart  two heart 
great game lot of fun,5,,great game lot fun
good game fun,5,,good game fun
cant use key at some level it make the game very boring,1,,cant use key level make game boring
nice and wonderful  two heart ,5,,nice wonderful  two heart 
the app wont load unless there an internet it is stuck in  and wont load any further please help me fix it i really do love the game thank you,3,Hi! Please update our game to the latest version. We have fixed bugs and we are waiting for you!,app wont load unless internet stuck  wont load please help fix really love game thank
the reason for the  star is that the game keep flashing which is extremely annoying and hard on my eye make me very ill and the flashing ha gotten worse almost every  second can be bad for people who have health issue hope developer fix this a it is a known cause for creating epilepsy attacksotherwise love the game great game play and excellent storyline i actually watch and listen to the story a it evolves rather than push skip,1,,reason  star game keep flashing extremely annoying hard eye make ill flashing ha gotten worse almost every  second bad people health issue hope developer fix known cause creating epilepsy attacksotherwise love game great game play excellent storyline actually watch listen story evolves rather push skip
game wa fun but if you dont spend money the game loses it appeal id give it more star if the level wouldnt be so hard to beat after level  take days to beat level going to delete today the biggest waste of time buying item is waaaayy to much other game i play and buy are cheaper trying to get rich not worth it try something else not this game,1,Hi! Thanks for the feedback. Do you use our free bonuses in the game? It will be easier to complete the level with them.,game wa fun dont spend money game loses appeal id give star level wouldnt hard beat level  take days beat level going delete today biggest waste time buying item waaaayy much game play buy cheaper trying get rich worth try something else game
cool game i really like this,5,,cool game really like
happy and nice game,4,,happy nice game
it doesnt download the content i try to wait for almost  hr but nothing to think that i a strong network signal,1,,doesnt download content try wait almost  hr nothing think strong network signal
well the game is fun and addictive,5,,well game fun addictive
i downloaded this and after i try to log in my facebook account and get disappointed because when i wa about to start the game it suddenly shut the problem is still there just that i need to uninstall it,2,"Hi!
Can you open the game now?",downloaded try log facebook account get disappointed wa start game suddenly shut problem still need uninstall
the story line is great and i would like to know more about it but the level get way to hard to the point of where it frustrates me and i end up using up all my love and still cant finish a level and i dont get to go further with the story and it ruin my enjoyment with the game,3,,story line great would like know level get way hard point frustrates end using love still cant finish level dont get go story ruin enjoyment game
i like this game it wa good game it relaxing game,5,,like game wa good game relaxing game
just started  smiling face with smiling eye ,4,,started  smiling face smiling eye 
i liked the game fun challenging and had a story to go with it it would be nice to win or get with other people to get extra key life or power ups harder level are challenging but you only get one key or something small in return i will download it again but have uninstall again because itd stuck at  even with wifi,2,Hi! Please update our game to the latest version. We have fixed bugs and we are waiting for you!,liked game fun challenging story go would nice win get people get extra key life power ups harder level challenging get one key something small return download uninstall itd stuck  even wifi
i love it so far  smiling face with hearteyes ,5,,love far  smiling face hearteyes 
i love it it so much fun graphic are great story line is entertaining cant wait to play every day i recommend downloading it and play,5,,love much fun graphic great story line entertaining cant wait play every day recommend downloading play
keep freezing and wont let you play i am tired of having to uninstall and reinstall to play this time i am uninstalling and not installing again,1,"Hi, Melissa! 🌹
Please free more disk space in Your device and shut down other applications before launching the game. Also we recommend to delete performance-boosting apps from your mobile device.",keep freezing wont let play tired uninstall reinstall play time uninstalling installing
this is a wonderful game  heart exclamation  enjoy playing so farlove it,5,,wonderful game  heart exclamation  enjoy playing farlove
